업체명,모델명,연료,변속형식,차량형식,자동차 종류,도심주행연비,고속도로연비,CO2배출량(g_km),1회충전주행거리(km),배기량,등급,출시연도
볼보,볼보 V60CCB5 AWD,휘발유,자동,하이브리드,승용차,8.7,11.9,175,,1969,4등급,2024
볼보,볼보 XC60T8 AWD,전기+휘발유,자동,PHEV,승용차,16.6,17.1,33,61,1969,PHEV,2024
벤츠,Mercedes-Benz GLC 220 d 4MATIC,경유,자동,하이브리드,승용차,13.8,15.5,130,,1993,2등급,2024
벤츠,Mercedes-Benz E 450 4MATIC,휘발유,자동,하이브리드,승용차,9,13.1,162,,2998,4등급,2024
랜드로버,더 뉴 레인지로버 P550e SWB,전기+휘발유,자동,PHEV,승용차,11.5,13.1,35,80,2996,PHEV,2024
볼보,볼보 XC60B6 AWD,휘발유,자동,하이브리드,승용차,8.8,11.5,174,,1969,4등급,2024
볼보,볼보 S60B5,휘발유,자동,하이브리드,승용차,10.5,14.3,143,,1969,3등급,2024
벤츠,Mercedes-Maybach S 580,휘발유,자동,하이브리드,승용차,7,10.1,214,,3982,5등급,2024
벤츠,Mercedes-Maybach S 680,휘발유,자동,내연기관,승용차,5,8.3,290,,5980,5등급,2024
롤스로이스,Rolls-Royce Cullinan Black Badge,휘발유,자동,내연기관,승용차,4.5,6.9,327,,6749,5등급,2024
롤스로이스,Rolls-Royce Cullinan,휘발유,자동,내연기관,승용차,4.6,7.1,320,,6749,5등급,2024
벤츠,Mercedes-Benz G 580 with EQ Technology,전기,없음,전기,승용차,3.2,2.7,,392,,5등급,2024
랜드로버,더 뉴 레인지로버 스포츠 P550e,전기+휘발유,자동,PHEV,승용차,11.5,13.1,35,80,2996,PHEV,2024
벤츠,Mercedes-Benz S 500 4MATIC,휘발유,자동,하이브리드,승용차,8.4,11.7,177,,2998,4등급,2024
벤츠,Mercedes-Benz S 450 4MATIC,휘발유,자동,하이브리드,승용차,8.6,12.1,172,,2998,4등급,2024
랜드로버,레인지로버 벨라 P400,휘발유,자동,하이브리드,승용차,7.3,9.5,210,,2996,5등급,2024
토요타,렉서스 UX300h 2WD,휘발유,CVT,하이브리드,승용차,19.4,16.5,87,,1987,1등급,2024
토요타,렉서스 LM500h Executive,휘발유,자동,하이브리드,승용차,9.7,10.7,164,,2393,4등급,2024
롤스로이스,Rolls-Royce Cullinan Black Badge,휘발유,자동,내연기관,승용차,4.5,6.9,327,,6749,5등급,2024
롤스로이스,Rolls-Royce Cullinan,휘발유,자동,내연기관,승용차,4.6,7.1,320,,6749,5등급,2024
벤츠,Mercedes-Benz S 580 4MATIC,휘발유,자동,하이브리드,승용차,6.9,10,215,,3982,5등급,2024
벤츠,Mercedes-Maybach S 580,휘발유,자동,하이브리드,승용차,7,10.1,214,,3982,5등급,2024
현대,스타리아(US4)라운지 하이브리드 1.6T-GDI 모빌리티 7인 18인치(nC),휘발유,자동,하이브리드,승용차,13.5,11.6,129,,1598,3등급,2024
현대,스타리아(US4)라운지 하이브리드 1.6T-GDI 모빌리티 9인 18인치(nC),휘발유,자동,하이브리드,승용차,13.5,11.6,129,,1598,3등급,2024
현대,스타리아(US4)라운지 하이브리드 1.6T-GDI 모빌리티 7인 18인치(C),휘발유,자동,하이브리드,승용차,13.1,11.6,132,,1598,3등급,2024
