"행정구역","2015년02월_총인구수","2015년02월_세대수","2015년02월_세대당 인구","2015년02월_남자 인구수","2015년02월_여자 인구수","2015년02월_남여 비율"
"전국  (1000000000)","51,360,454","20,772,167","          2.47","25,683,724","25,676,730","          1.00"
"서울특별시  (1100000000)","10,105,206","4,201,451","          2.41","4,979,040","5,126,166","          0.97"
"부산광역시  (2600000000)","3,517,939","1,424,605","          2.47","1,739,181","1,778,758","          0.98"
"대구광역시  (2700000000)","2,492,583","973,010","          2.56","1,240,549","1,252,034","          0.99"
"인천광역시  (2800000000)","2,906,603","1,138,893","          2.55","1,460,824","1,445,779","          1.01"
"광주광역시  (2900000000)","1,477,340","574,766","          2.57","731,983","745,357","          0.98"
"대전광역시  (3000000000)","1,529,431","593,926","          2.58","765,210","764,221","          1.00"
"울산광역시  (3100000000)","1,167,385","443,806","          2.63","601,671","565,714","          1.06"
"세종특별자치시  (3600000000)","169,762","67,187","          2.53","85,432","84,330","          1.01"
"경기도  (4100000000)","12,376,944","4,799,046","          2.58","6,229,184","6,147,760","          1.01"
"강원도  (4200000000)","1,542,918","674,035","          2.29","777,518","765,400","          1.02"
"충청북도  (4300000000)","1,578,253","657,940","          2.40","795,753","782,500","          1.02"
"충청남도  (4400000000)","2,062,924","873,322","          2.36","1,046,408","1,016,516","          1.03"
"전라북도  (4500000000)","1,870,728","775,805","          2.41","931,158","939,570","          0.99"
"전라남도  (4600000000)","1,903,220","823,927","          2.31","950,919","952,301","          1.00"
"경상북도  (4700000000)","2,698,469","1,155,068","          2.34","1,355,236","1,343,233","          1.01"
"경상남도  (4800000000)","3,351,137","1,347,529","          2.49","1,687,916","1,663,221","          1.01"
"제주특별자치도  (5000000000)","609,612","247,851","          2.46","305,742","303,870","          1.01"
