사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Mar.25,1호선,150,서울역,672,53,10025,9052,26032,57132,86883,123684,143737,247797,113291,171834,102970,101836,114624,98072,129046,107448,123079,105198,109968,102172,142017,116119,155142,123026,224250,147161,258374,167759,146297,118386,105690,85808,109022,79852,72193,55517,36881,28364,3694,8024,7,178,0,0,0,0
Mar.25,1호선,151,시청,86,1,1997,5455,3779,25804,7720,74701,11314,200167,14188,92108,16166,50716,20929,54949,24735,60274,35057,67318,52476,53296,68946,37916,84969,29936,113670,29450,168241,26375,68103,14680,59765,9747,51204,8940,30091,6282,9895,3996,498,1158,1,35,0,1,0,0
Mar.25,1호선,152,종각,141,2,4180,6021,4437,34064,7104,115139,10725,266675,14121,147969,19623,63030,29170,65201,34951,61950,45859,65784,63608,54757,78728,50818,97364,49607,168100,53785,228342,53144,115665,27776,110485,15161,98819,10583,63949,7445,26425,4664,1796,1353,0,0,0,0,0,0
Mar.25,1호선,153,종로3가,207,20,3687,2495,4045,11669,5769,26192,9993,65805,15492,63964,22747,57540,32716,73006,47103,73880,51616,67297,64679,58930,73883,51477,82835,48495,96394,45169,100356,43308,70315,23029,60452,13722,55627,10508,39395,7968,17254,5468,1550,2286,1,43,0,0,0,0
Mar.25,1호선,154,종로5가,26,0,2044,3461,3009,15760,5834,40194,10932,88880,15505,64218,25357,60707,36367,66123,46154,60889,54339,56873,64966,54139,68714,47320,74216,42108,91005,38193,93417,34652,55812,21303,39794,12934,34065,9059,20880,6475,6010,4064,428,1125,0,0,0,0,0,0
Mar.25,1호선,155,동대문,551,17,11164,1862,9327,6671,17135,11777,22194,20696,21800,22652,19393,24877,20419,29536,24430,29321,27393,27712,30689,26549,30933,26049,30637,25146,29002,24908,26885,25140,20635,24186,18028,17082,15728,16150,12205,15212,6150,10066,1041,3207,5,305,0,0,0,0
Mar.25,1호선,156,신설동,393,14,9035,2193,9588,8404,22160,25628,33587,54696,22536,32454,21182,23150,22406,20924,25077,20627,26126,21833,25785,20702,27305,22474,31501,24534,44132,27075,54125,32791,22242,24493,15387,18013,13853,17181,9665,14519,4096,9287,461,2796,0,0,0,0,0,0
Mar.25,1호선,157,제기동,318,4,5360,2298,8886,9937,22627,20426,32495,37507,23071,31687,24903,37992,32407,49281,39143,51671,43216,52442,49145,49655,52943,40817,51666,36774,46644,30673,40635,28118,22361,19617,14744,13211,9430,12457,5798,10395,2560,6369,209,1521,0,2,0,0,0,0
Mar.25,1호선,158,청량리(서울시립대입구),985,11,10222,2822,17709,10263,49787,17258,59152,41097,38064,38597,34394,40269,41227,49710,47659,51151,51684,53620,55384,55284,59761,53056,60867,52457,56627,54952,49741,62968,29638,41019,22531,26939,17575,25152,11399,21022,4676,12359,369,3757,2,4,0,0,0,0
Mar.25,1호선,159,동묘앞,137,2,2717,856,3775,5156,9123,10795,14142,23544,12662,19171,14029,25980,19060,35898,27454,38749,36771,43791,42688,37101,40697,30978,39278,23321,36047,17357,25075,13822,12066,10078,6560,7403,5624,7318,4129,6811,1470,4940,151,2079,1,227,0,0,0,0
Mar.25,2호선,201,시청,13,0,1079,2010,2293,20993,5433,73692,9438,226007,14962,94253,20579,32136,25633,30428,25258,32854,32080,37459,42641,32126,52189,26423,63831,22598,114112,24518,173725,24095,67873,13952,51700,9342,45320,8763,26434,7022,9801,4480,1242,1396,3,76,0,0,0,0
Mar.25,2호선,202,을지로입구,76,2,2496,3027,4536,31591,11253,127945,19753,332467,31623,170030,38599,92514,46120,78247,51466,70752,62397,73748,75633,69774,91189,67303,108095,70000,180383,79382,279333,79023,142302,53227,137679,36437,94189,29305,71679,22410,29052,12398,3528,4656,2,845,0,0,0,0
Mar.25,2호선,203,을지로3가,20,0,1250,1889,2832,20790,7018,72220,14792,166757,20870,69983,25497,35974,27009,31485,28593,30299,31151,33476,37776,30760,40712,30988,52443,35798,94012,42169,138190,47253,61108,31372,48655,19632,50840,16204,41858,14181,22956,9078,3583,2296,0,76,0,0,0,0
Mar.25,2호선,204,을지로4가,8,0,1194,1096,2357,13790,6455,34507,13335,75368,16017,39025,19734,26500,21630,26432,21667,24342,24455,24308,27739,23249,30330,21982,36821,21740,61533,22285,69228,22381,31248,15945,20131,12265,16861,11480,11423,10926,5775,7205,950,1749,3,45,0,0,0,0
